category,id,name,brand,price,unit,description,specifications
cabinet,cab_001,标准密度板 18mm,乐山家具,280,元/㎡,标准密度板适用于一般柜体制作,厚度18mm材质密度板表面双面贴纸
cabinet,cab_002,高密度板 18mm,乐山家具,320,元/㎡,高密度板强度更高适合承重柜体,厚度18mm材质高密度板表面双面贴纸
cabinet,cab_003,实木颗粒板 18mm,乐山家具,350,元/㎡,实木颗粒板环保性能好,厚度18mm材质实木颗粒板表面三聚氰胺贴面
cabinet,cab_004,多层实木板 18mm,乐山家具,420,元/㎡,多层实木板稳定性强不易变形,厚度18mm材质多层实木板表面实木贴皮
cabinet,cab_005,生态免漆板 18mm,乐山家具,380,元/㎡,生态免漆板无需后期处理,厚度18mm材质生态板表面免漆处理
cabinet,cab_006,进口爱格板 18mm,乐山家具,480,元/㎡,进口爱格板品质优良,厚度18mm材质进口爱格板表面三聚氰胺贴面
doorPanel,door_001,标准门板 免漆,乐山家具,320,元/㎡,标准免漆门板经济实用,材质密度板表面免漆处理厚度18mm
doorPanel,door_002,吸塑门板 PVC,乐山家具,380,元/㎡,吸塑门板防水性能好,材质密度板表面PVC吸塑厚度18mm
doorPanel,door_003,烤漆门板 高光,乐山家具,450,元/㎡,烤漆门板表面光亮美观,材质密度板表面高光烤漆厚度18mm
doorPanel,door_004,实木贴皮门板,乐山家具,520,元/㎡,实木贴皮门板天然木纹,材质密度板表面实木贴皮厚度18mm
doorPanel,door_005,玻璃门板 钢化,乐山家具,420,元/㎡,钢化玻璃门板安全美观,材质钢化玻璃厚度5mm边框铝合金
doorPanel,door_006,铝合金门板,乐山家具,380,元/㎡,铝合金门板轻便耐用,材质铝合金厚度1.2mm表面喷涂处理
wallpanel,wall_001,标准护墙板 实木,乐山家具,380,元/㎡,实木护墙板天然环保,材质实木厚度15mm表面清漆处理
wallpanel,wall_002,欧式护墙板 雕花,乐山家具,580,元/㎡,欧式雕花护墙板装饰效果佳,材质密度板厚度18mm表面雕花工艺
wallpanel,wall_003,现代护墙板 免漆,乐山家具,320,元/㎡,现代简约风格护墙板,材质生态板厚度15mm表面免漆处理
wallpanel,wall_004,软包护墙板 皮革,乐山家具,680,元/㎡,软包皮革护墙板舒适美观,材质密度板厚度18mm表面皮革软包
door,indoordoor_001,标准室内门 免漆,乐山家具,1200,元/樘,标准室内门经济实用,尺寸800x2000mm材质复合材料表面免漆
door,indoordoor_002,实木复合门,乐山家具,1800,元/樘,实木复合门质感好,尺寸800x2000mm材质实木复合表面清漆
door,indoordoor_003,实木门 橡木,乐山家具,2800,元/樘,纯实木门高档美观,尺寸800x2000mm材质橡木表面清漆
door,indoordoor_004,玻璃门 钢化玻璃,乐山家具,1500,元/樘,钢化玻璃门透光性好,尺寸800x2000mm材质钢化玻璃边框实木
door,indoordoor_005,推拉门 铝合金,乐山家具,800,元/樘,铝合金推拉门节省空间,尺寸1600x2000mm材质铝合金玻璃中空
column,col_001,欧式罗马柱 石膏,乐山家具,280,元/米,石膏罗马柱装饰效果好,直径200mm材质石膏表面白色底漆
column,col_002,现代简约柱 大理石,乐山家具,680,元/米,大理石装饰柱高档美观,直径250mm材质天然大理石表面抛光
column,col_003,装饰柱 PU材质,乐山家具,180,元/米,PU装饰柱轻便易安装,直径180mm材质聚氨酯表面仿石纹理
column,col_004,实木罗马柱,乐山家具,580,元/米,实木罗马柱天然环保,直径200mm材质橡木表面清漆处理
lighting,light_001,LED灯带 暖白,乐山家具,25,元/米,LED灯带节能环保,功率14.4W/m色温3000K防护等级IP20
lighting,light_002,LED灯带 冷白,乐山家具,25,元/米,LED灯带照明效果好,功率14.4W/m色温6000K防护等级IP20
lighting,light_003,RGB彩色灯带,乐山家具,45,元/米,RGB灯带可调色彩,功率14.4W/m全彩RGB防护等级IP20
lighting,light_004,线性灯具,乐山家具,120,元/米,线性灯具照明均匀,功率20W/m色温4000K防护等级IP40
lighting,light_005,嵌入式灯带,乐山家具,80,元/米,嵌入式安装美观,功率12W/m色温3000K防护等级IP44
stone,stone_001,天然大理石,乐山家具,680,元/㎡,天然大理石纹理美观,厚度20mm材质天然大理石表面抛光
stone,stone_002,人造石英石,乐山家具,480,元/㎡,人造石英石硬度高,厚度15mm材质石英石表面抛光
stone,stone_003,岩板 陶瓷,乐山家具,580,元/㎡,陶瓷岩板耐磨耐热,厚度12mm材质陶瓷表面哑光
stone,stone_004,花岗岩,乐山家具,380,元/㎡,花岗岩坚固耐用,厚度20mm材质花岗岩表面抛光
stone,stone_005,进口岩板,乐山家具,880,元/㎡,进口岩板品质优良,厚度6mm材质进口岩板表面多种纹理
island,island_001,标准橱柜岛台,乐山家具,1200,元/延米,标准岛台功能齐全,高度850mm深度600mm含台面柜体
island,island_002,大理石台面岛台,乐山家具,1800,元/延米,大理石台面高档美观,高度850mm深度600mm台面天然大理石
island,island_003,不锈钢岛台,乐山家具,1500,元/延米,不锈钢岛台易清洁,高度850mm深度600mm台面304不锈钢
island,island_004,实木岛台,乐山家具,2200,元/延米,实木岛台天然环保,高度850mm深度600mm台面实木拼接
baseboard,base_001,标准踢脚线 PVC,乐山家具,35,元/米,PVC踢脚线经济实用,高度80mm厚度12mm材质PVC
baseboard,base_002,实木踢脚线,乐山家具,55,元/米,实木踢脚线天然环保,高度80mm厚度15mm材质实木
baseboard,base_003,铝合金踢脚线,乐山家具,45,元/米,铝合金踢脚线现代简约,高度80mm厚度10mm材质铝合金
baseboard,base_004,不锈钢踢脚线,乐山家具,65,元/米,不锈钢踢脚线耐用美观,高度80mm厚度8mm材质304不锈钢
hardware,hard_001,标准铰链 冷轧钢,乐山家具,25,元/个,标准铰链承重性能好,规格35mm材质冷轧钢表面电镀
hardware,hard_002,缓冲铰链 液压,乐山家具,35,元/个,液压缓冲铰链静音效果好,规格35mm材质冷轧钢液压缓冲
hardware,hard_003,进口铰链 海蒂诗,乐山家具,45,元/个,进口品牌铰链品质优良,规格35mm品牌海蒂诗表面镀镍
hardware,hard_004,标准拉手 合金,乐山家具,15,元/个,标准拉手经济实用,长度128mm材质锌合金表面电镀
hardware,hard_005,隐形拉手 铝合金,乐山家具,25,元/个,隐形拉手美观简约,长度100mm材质铝合金表面阳极氧化
hardware,hard_006,实木拉手 橡木,乐山家具,35,元/个,实木拉手天然环保,长度120mm材质橡木表面清漆
glass,glass_001,透明钢化玻璃 5mm,乐山家具,120,元/㎡,透明钢化玻璃安全可靠,厚度5mm材质钢化玻璃透光率90%
glass,glass_002,磨砂玻璃 6mm,乐山家具,150,元/㎡,磨砂玻璃隐私保护好,厚度6mm材质钢化玻璃表面磨砂处理
glass,glass_003,夹胶玻璃 8mm,乐山家具,200,元/㎡,夹胶玻璃安全性更高,厚度8mm材质夹胶钢化玻璃PVB中间膜
glass,glass_004,艺术玻璃 装饰,乐山家具,280,元/㎡,艺术玻璃装饰效果佳,厚度6mm材质钢化玻璃表面艺术处理
